アマランサス/玄穀
[陸稲めし]/半つき米
[陸稲めし]/七分つき米
[陸稲めし]/精白米
[うるち米製品]/アルファ化米
[うるち米製品]/おにぎり
[うるち米製品]/焼きおにぎり
[うるち米製品]/きりたんぽ
[うるち米製品]/上新粉
[うるち米製品]/ビーフン
[うるち米製品]/米こうじ
[もち米製品]/もち
[もち米製品]/赤飯
[もち米製品]/あくまき
[もち米製品]/白玉粉
[もち米製品]/道明寺粉
そば粉/全層粉
そば粉/内層粉
そば粉/中層粉
そば粉/表層粉
そば粉/そば米
そば/生
そば/ゆで
干しそば/乾
干しそば/ゆで
とうもろこし/玄穀
とうもろこし/コーンミール
とうもろこし/コーングリッツ
とうもろこし/コーンフラワー
とうもろこし/ジャイアントコーン/フライ、味付け
とうもろこし/ポップコーン
とうもろこし/コーンフレーク
はとむぎ/精白粒
ひえ/精白粒
もろこし/玄穀
もろこし/精白粒
ライむぎ/全粒粉
ライむぎ/ライ麦粉
きくいも/塊茎、生
こんにゃく/精粉
こんにゃく/板こんにゃく/精粉こんにゃく
こんにゃく/板こんにゃく/生いもこんにゃく
こんにゃく/しらたき
さつまいも/塊根、生
さつまいも/塊根、蒸し
さつまいも/塊根、焼き
さつまいも/蒸し切干
さといも/球茎、生
さといも/球茎、水煮
さといも/球茎、冷凍
みずいも/球茎、生
みずいも/球茎、水煮
やつがしら/球茎、生
やつがしら/球茎、水煮
じゃがいも/塊茎、生
じゃがいも/塊茎、蒸し
じゃがいも/塊茎、水煮
じゃがいも/フライドポテト
じゃがいも/乾燥マッシュポテト
やまのいも/いちょういも/塊根、生
やまのいも/ながいも/塊根、生
やまのいも/ながいも/塊根、水煮
やまのいも/やまといも/塊根、生
じねんじょ/塊根、生
だいじょ/塊根、生
キャッサバでん粉
くずでん粉
米でん粉
小麦でん粉
サゴでん粉
さつまいもでん粉
じゃがいもでん粉
とうもろこしでん粉
くずきり/乾
くずきり/ゆで
タピオカパール/乾
はるさめ/緑豆はるさめ/乾
はるさめ/普通はるさめ/乾
黒砂糖
和三盆糖
車糖/上白糖
車糖/三温糖
ざらめ糖/グラニュー糖
ざらめ糖/白ざら糖
ざらめ糖/中ざら糖
加工糖/角砂糖
加工糖/氷砂糖
加工糖/コーヒーシュガー
加工糖/粉糖
液糖/しょ糖型液糖
液糖/転化型液糖
液糖/氷糖みつ
粉あめ
水あめ
ぶどう糖/全糖
ぶどう糖/含水結晶
ぶどう糖/無水結晶
ぶどう糖/果糖
ぶどう糖/異性化液糖
はちみつ
メープルシロップ
あずき/全粒、乾
あずき/全粒、ゆで
あずき/ゆで小豆缶詰
あずき/あん/こしあん
あずき/あん/さらしあん
あずき/あん/つぶしあん
いんげんまめ/全粒、乾
いんげんまめ/全粒、ゆで
いんげんまめ/うずら豆
いんげんまめ/こしあん
いんげんまめ/豆きんとん
えんどう/全粒、乾
えんどう/全粒、ゆで
えんどう/グリンピース（揚げ豆）
えんどう/塩豆
えんどう/うぐいす豆
ささげ/全粒、乾
ささげ/全粒、ゆで
そらまめ/全粒、乾
そらまめ/フライビーンズ
おたふく豆
ふき豆
だいず/全粒/国産、乾
だいず/全粒/国産、ゆで
だいず/全粒/米国産、乾
だいず/全粒/中国産、乾
だいず/全粒/ブラジル産、乾
だいず/全粒/水煮缶詰
だいず/きな粉/全粒大豆
だいず/きな粉/脱皮大豆
だいず/きな粉/ぶどう豆
木綿豆腐
絹ごし豆腐
ソフト豆腐
充てん豆腐
沖縄豆腐
ゆし豆腐
焼き豆腐
生揚げ
油揚げ
がんもどき
凍り豆腐
豆腐よう
豆腐竹輪/蒸し
豆腐竹輪/焼き
糸引き納豆
挽きわり納豆
五斗納豆
寺納豆
おから/旧来製法
おから/新製法
豆乳/豆乳
豆乳/調製豆乳
豆乳/豆乳飲料・麦芽コーヒー
大豆たんぱく/粒状大豆たんぱく
大豆たんぱく/濃縮大豆たんぱく
大豆たんぱく/分離大豆たんぱく
大豆たんぱく/繊維状大豆たんぱく
湯葉/生
湯葉/干し
金山寺みそ
ひしおみそ
テンペ
つるあずき/全粒、乾
ひよこまめ/全粒、乾
ひよこまめ/全粒、ゆで
ひよこまめ/全粒、フライ、味付け
べにばないんげん/全粒、乾
べにばないんげん/全粒、ゆで
らいまめ/全粒、乾
りょくとう/全粒、乾
りょくとう/全粒、ゆで
レンズまめ/全粒、乾
アーモンド/乾
アーモンド/フライ、味付け
あさ/乾
えごま/乾
カシューナッツ/フライ、味付け
かぼちゃ/いり、味付け
かや/いり
ぎんなん/生
ぎんなん/ゆで
日本ぐり/生
日本ぐり/ゆで
日本ぐり/甘露煮
中国ぐり/甘ぐり
くるみ/いり
けし/乾
ココナッツ/ココナッツパウダー
ごま/乾
ごま/いり
ごま/むき
しい/生
すいか/いり、味付け
とち/蒸し
はす/未熟、生
はす/成熟、乾
ひし/生
ピスタチオ/いり、味付け
ひまわり/フライ、味付け
ブラジルナッツ/フライ、味付け
ヘーゼルナッツ/フライ、味付け
ペカン/フライ、味付け
マカダミアナッツ/いり、味付け
まつ/生
まつ/いり
らっかせい/乾
らっかせい/いり
らっかせい/バターピーナッツ
らっかせい/ピーナッツバター
アーティチョーク/花らい、生
アーティチョーク/花らい、ゆで
あさつき/葉、生
あさつき/葉、ゆで
あしたば/茎葉、生
あしたば/茎葉、ゆで
アスパラガス/若茎、生
アスパラガス/若茎、ゆで
アスパラガス/水煮缶詰
いんげんまめ/さやいんげん/若ざや、生
いんげんまめ/さやいんげん/若ざや、ゆで
うど/茎、生
うど/茎、水さらし
やまうど/茎、生
えだまめ/生
えだまめ/ゆで
えだまめ/冷凍
エンダイブ/葉､生
トウミョウ/茎葉、生
さやえんどう/若ざや、生
さやえんどう/若ざや、ゆで
スナップえんどう/若ざや、生
グリンピース/生
グリンピース/ゆで
グリンピース/冷凍
グリンピース/水煮缶詰
おおさかしろな/葉、生
おおさかしろな/葉、ゆで
おおさかしろな/塩漬
おかひじき/茎葉、生
おかひじき/茎葉、ゆで
オクラ/果実、生
オクラ/果実、ゆで
かぶ/葉、生
かぶ/葉、ゆで
かぶ/根、皮つき、生
かぶ/根、皮つき、ゆで
かぶ/根、皮むき、生
かぶ/根、皮むき、ゆで
かぶ/漬物/塩漬/葉
かぶ/漬物/塩漬/根、皮つき
かぶ/漬物/塩漬/根、皮むき
かぶ/漬物/ぬかみそ漬/葉
かぶ/漬物/ぬかみそ漬/根、皮つき
かぶ/漬物/ぬかみそ漬/根、皮むき
日本かぼちゃ/果実、生
日本かぼちゃ/果実、ゆで
西洋かぼちゃ/果実、生
西洋かぼちゃ/果実、ゆで
西洋かぼちゃ/果実、冷凍
そうめんかぼちゃ/果実、生
からしな/葉、生
からしな/塩漬
カリフラワー/花序、生
カリフラワー/花序、ゆで
かんぴょう/乾
かんぴょう/ゆで
きく/花びら、生
きく/花びら、ゆで
きく/菊のり
キャベツ/結球葉、生
キャベツ/結球葉、ゆで
グリーンボール/結球葉、生
レッドキャベツ/結球葉、生
きゅうり/果実、生
きゅうり/漬物/塩漬
きゅうり/漬物/しょうゆ漬
きゅうり/漬物/ぬかみそ漬
きゅうり/漬物/ピクルス/スイート型
きゅうり/漬物/ピクルス/サワー型
ぎょうじゃにんにく/葉、生
きょうな/葉、生
きょうな/葉、ゆで
きょうな/塩漬
キンサイ/茎葉、生
キンサイ/茎葉、ゆで
クレソン/茎葉、生
くわい/塊茎、生
くわい/塊茎、ゆで
ケール/葉、生
コールラビ/球茎、生
コールラビ/球茎、ゆで
こごみ/若芽、生
ごぼう/根、生
ごぼう/根、ゆで
こまつな/葉、生
こまつな/葉、ゆで
ザーサイ/漬物
さんとうさい/葉、生
さんとうさい/葉、ゆで
さんとうさい/塩漬
しかくまめ/若ざや、生
ししとうがらし/果実、生
ししとうがらし/果実、油いため
しそ/葉、生
しそ/実、生
じゅうろくささげ/若ざや、生
じゅうろくささげ/若ざや、ゆで
しゅんぎく/葉、生
しゅんぎく/葉、ゆで
じゅんさい/若葉、水煮びん詰
葉しょうが/根茎、生
しょうが/根茎、生
しょうが/漬物/酢漬
しょうが/漬物/甘酢漬
しろうり/果実、生
しろうり/漬物/塩漬
しろうり/漬物/奈良漬
ずいき/生ずいき、生
ずいき/生ずいき、ゆで
ずいき/干しずいき、乾
ずいき/干しずいき、ゆで
すぐきな/葉、生
すぐきな/根、生
すぐきな/すぐき漬
ズッキーニ/果実、生
せり/茎葉、生
せり/茎葉、ゆで
セロリー/葉柄、生
ぜんまい/生ぜんまい/若芽、生
ぜんまい/生ぜんまい/若芽、ゆで
ぜんまい/干しぜんまい/干し若芽、乾
ぜんまい/干しぜんまい/干し若芽、ゆで
そらまめ/未熟豆、生
そらまめ/未熟豆、ゆで
タアサイ/葉、生
タアサイ/葉、ゆで
かいわれだいこん/芽ばえ、生
葉だいこん/葉、生
だいこん/葉、生
だいこん/葉、ゆで
だいこん/根、皮つき、生
だいこん/根、皮つき、ゆで
だいこん/根、皮むき、生
だいこん/根、皮むき、ゆで
だいこん/切干しだいこん
だいこん/漬物/ぬかみそ漬
だいこん/漬物/たくあん漬/塩押しだいこん漬
だいこん/漬物/たくあん漬/干しだいこん漬
だいこん/漬物/守口漬
だいこん/漬物/べったら漬
だいこん/漬物/みそ漬
だいこん/漬物/福神漬
つまみな/葉、生
たいさい/葉、生
たいさい/塩漬
たかな/葉、生
たかな/たかな漬
たけのこ/若茎、生
たけのこ/若茎、ゆで
たけのこ/水煮缶詰
たけのこ/しなちく、塩蔵、塩抜き
たまねぎ/りん茎、生
たまねぎ/りん茎、水さらし
たまねぎ/りん茎、ゆで
赤たまねぎ/りん茎、生
たらのめ/若芽、生
たらのめ/若芽、ゆで
チコリー/若芽、生
チンゲンサイ/葉、生
チンゲンサイ/葉、ゆで
つくし/胞子茎、生
つくし/胞子茎、ゆで
つるな/茎葉、生
つるむらさき/茎葉、生
つるむらさき/茎葉、ゆで
つわぶき/葉柄、生
つわぶき/葉柄、ゆで
とうがらし/葉･果実、生
とうがらし/葉･果実、油いため
とうがらし/果実、生
とうがらし/果実、乾
とうがん/果実、生
とうがん/果実、ゆで
スイートコーン/未熟種子、生
スイートコーン/未熟種子、ゆで
スイートコーン/未熟種子、ホール、冷凍
スイートコーン/未熟種子、カーネル、冷凍
スイートコーン/缶詰/クリームスタイル
スイートコーン/缶詰/ホールカーネルスタイル
ヤングコーン/幼雌穂、生
トマト/果実、生
ミニトマト/果実、生
缶詰/ホール
缶詰/ジュース
缶詰/ミックスジュース
トレビス/葉、生
とんぶり/ゆで
ながさきはくさい/葉、生
ながさきはくさい/葉、ゆで
なす/果実、生
なす/果実、ゆで
べいなす/果実、生
べいなす/果実、油揚げ
漬物/塩漬
漬物/ぬかみそ漬
漬物/こうじ漬
漬物/からし漬
漬物/しば漬
なずな/葉、生
和種なばな/花らい・茎、生
和種なばな/花らい・茎、ゆで
洋種なばな/茎葉、生
洋種なばな/茎葉、ゆで
にがうり/果実、生
にがうり/果実、油いため
にら/葉、生
にら/葉、ゆで
花にら/花茎・花らい、生
黄にら/葉、生
葉にんじん/葉、生
にんじん/根、皮つき、生
にんじん/根、皮つき、ゆで
にんじん/根、皮むき、生
にんじん/根、皮むき、ゆで
にんじん/根、冷凍
にんじん/ジュース、缶詰
きんとき/根、皮つき、生
きんとき/根、皮つき、ゆで
きんとき/根、皮むき、生
きんとき/根、皮むき、ゆで
ミニキャロット/根、生
にんにく/りん茎、生
茎にんにく/花茎、生
茎にんにく/花茎、ゆで
根深ねぎ/葉、軟白、生
葉ねぎ/葉、生
こねぎ/葉、生
のざわな/葉、生
のざわな/漬物/塩漬
のざわな/漬物/調味漬
のびる/りん茎葉、生
はくさい/結球葉、生
はくさい/結球葉、ゆで
はくさい/漬物/塩漬
はくさい/漬物/キムチ
パクチョイ/葉、生
バジル/葉、生
パセリ/葉、生
はつかだいこん/根、生
はやとうり/果実、生
はやとうり/塩漬
ビート/根、生
ビート/根、ゆで
青ピーマン/果実、生
青ピーマン/果実、油いため
赤ピーマン/果実、生
赤ピーマン/果実、油いため
黄ピーマン/果実、生
黄ピーマン/果実、油いため
トマピー/果実、生
ひのな/根・茎葉、生
ひのな/甘酢漬
ひろしまな/葉、生
ひろしまな/塩漬
ふき/葉柄、生
ふき/葉柄、ゆで
ふきのとう/花序、生
ふきのとう/花序、ゆで
ふじまめ/若ざや、生
ふだんそう/葉、生
ふだんそう/葉、ゆで
ブロッコリー/花序、生
ブロッコリー/花序、ゆで
へちま/果実、生
へちま/果実、ゆで
ほうれんそう/葉、生
ほうれんそう/葉、ゆで
ほうれんそう/葉、冷凍
ホースラディシュ/根茎、生
まこも/茎、生
みずかけな/葉、生
みずかけな/塩漬
切りみつば/葉、生
切りみつば/葉、ゆで
根みつば/葉、生
根みつば/葉、ゆで
糸みつば/葉、生
糸みつば/葉、ゆで
みょうが/花穂、生
みょうがたけ/茎葉、生
むかご/肉芽、生
めキャベツ/結球葉、生
めキャベツ/結球葉、ゆで
めたで/芽ばえ、生
アルファルファもやし/生
だいずもやし/生
だいずもやし/ゆで
ブラックマッペもやし/生
ブラックマッペもやし/ゆで
りょくとうもやし/生
りょくとうもやし/ゆで
モロヘイヤ/茎葉、生
モロヘイヤ/茎葉、ゆで
やまごぼう/みそ漬
ゆりね/りん茎、生
ゆりね/りん茎、ゆで
ようさい/茎葉、生
ようさい/茎葉、ゆで
よめな/葉、生
よもぎ/葉、生
よもぎ/葉、ゆで
らっかせい/未熟豆、生
らっかせい/未熟豆、ゆで
らっきょう/りん茎、生
らっきょう/甘酢漬
エシャロット/りん茎、生
リーキ/りん茎葉、生
リーキ/りん茎葉、ゆで
ルバーブ/葉柄、生
ルバーブ/葉柄、ゆで
レタス/結球葉、生
サラダな/葉、生
リーフレタス/葉、生
サニーレタス/葉、生
コスレタス/葉、生
れんこん/根茎、生
れんこん/根茎、ゆで
ロケットサラダ/葉、生
わけぎ/葉、生
わけぎ/葉、ゆで
わさび/根茎、生
わさび/わさび漬
わらび/生わらび、生
わらび/生わらび、ゆで
わらび/干しわらび、乾
あけび/果肉、生
あけび/果皮、生
アセロラ/生
アセロラ/10%果汁入り飲料
アテモヤ/生
アボカド/生
あんず/生
あんず/乾
あんず/缶詰
あんず/ジャム/高糖度
あんず/ジャム/低糖度
いちご/生
いちご/ジャム/高糖度
いちご/ジャム/低糖度
いちじく/生
いちじく/乾
いちじく/缶詰
いよかん/砂じょう、生
うめ/生
梅漬/塩漬
梅漬/調味漬
梅干し/塩漬
梅干し/調味漬
梅干し/梅びしお
梅干し/20%果汁入り飲料
うんしゅうみかん/じょうのう/早生、生
うんしゅうみかん/じょうのう/普通、生
うんしゅうみかん/砂じょう/早生、生
うんしゅうみかん/砂じょう/普通、生
うんしゅうみかん/果実飲料/ストレートジュース
うんしゅうみかん/果実飲料/濃縮還元ジュース
うんしゅうみかん/果実飲料/果粒入りジュース
うんしゅうみかん/果実飲料/50%果汁入り飲料
うんしゅうみかん/果実飲料/20%果汁入り飲料
うんしゅうみかん/缶詰/果肉
うんしゅうみかん/缶詰/液汁
オリーブ/ピクルス/グリーン
オリーブ/ピクルス/ライプ
オリーブ/ピクルス/スタッフド
ネーブル/砂じょう、生
バレンシアオレンジ/砂じょう、生
バレンシアオレンジ/果実飲料/ストレートジュース
バレンシアオレンジ/果実飲料/濃縮還元ジュース
バレンシアオレンジ/果実飲料/50%果汁入り飲料
バレンシアオレンジ/果実飲料/30%果汁入り飲料
バレンシアオレンジ/マーマレード/高糖度
バレンシアオレンジ/マーマレード/低糖度
オロブランコ/砂じょう、生
かき/甘がき、生
かき/渋抜きがき、生
かき/干しがき
かぼす/果汁、生
かりん/生
キウイフルーツ/生
キワノ/生
きんかん/全果、生
グァバ/生
グァバ/果実飲料/20%果汁入り飲料(ネクター）
グァバ/果実飲料/10%果汁入り飲料
グズベリー/生
ぐみ/生
グレープフルーツ/砂じょう、生
グレープフルーツ/果実飲料/ストレートジュース
グレープフルーツ/果実飲料/濃縮還元ジュース
グレープフルーツ/果実飲料/50%果汁入り飲料
グレープフルーツ/果実飲料/20%果汁入り飲料
グレープフルーツ/缶詰
ココナッツ/ココナッツウォーター
ココナッツ/ココナッツミルク
ごれんし/生
さくらんぼ/国産、生
さくらんぼ/米国産、生
さくらんぼ/缶詰
ざくろ/生
さんぼうかん/砂じょう、生
シイクワシャー/果汁、生
シイクワシャー/10%果汁入り飲料
すいか/生
すだち/果皮、生
すだち/果汁、生
にほんすもも/生
プルーン/生
プルーン/乾
だいだい/果汁、生
タンゴール/砂じょう、生
タンゼロ/砂じょう、生
チェリモヤ/生
ドリアン/生
日本なし/生
日本なし/缶詰
中国なし/生
西洋なし/生
西洋なし/缶詰
なつみかん/砂じょう、生
なつみかん/缶詰
なつめ/乾
なつめやし/乾
パインアップル/生
パインアップル/果実飲料/ストレートジュース
パインアップル/果実飲料/濃縮還元ジュース
パインアップル/果実飲料/50%果汁入り飲料
パインアップル/果実飲料/10%果汁入り飲料
パインアップル/缶詰
パインアップル/砂糖漬
ハスカップ/生
はっさく/砂じょう、生
パッションフルーツ/果汁、生
バナナ/生
バナナ/乾
パパイア/完熟、生
パパイア/未熟、生
ピタヤ/生
ひゅうがなつ/じょうのう及びアルベド、生
ひゅうがなつ/砂じょう、生
びわ/生
びわ/缶詰
ぶどう/生
ぶどう/干しぶどう
ぶどう/果実飲料/ストレートジュース
ぶどう/果実飲料/濃縮還元ジュース
ぶどう/果実飲料/70%果汁入り飲料
ぶどう/果実飲料/10%果汁入り飲料
ぶどう/缶詰
ぶどう/ジャム
ブルーベリー/生
ブルーベリー/ジャム
ぶんたん/砂じょう、生
ぶんたん/ざぼん漬
ホワイトサポテ/生
砂ぽんかん/じょう、生
生まくわうり/
生マルメロ/
生マンゴー/
生マンゴスチン/
メロン/温室メロン、生
メロン/露地メロン、生
もも/生
もも/30%果汁入り飲料(ネクター）
もも/缶詰/果肉
もも/缶詰/液汁
ネクタリン/生
やまもも/生
ゆず/果皮、生
ゆず/果汁、生
ライチー/生
ライム/果汁、生
ラズベリー/生
りゅうがん/乾
りんご/生
りんご/果実飲料/ストレートジュース
りんご/果実飲料/濃縮還元ジュース
りんご/果実飲料/50%果汁入り飲料
りんご/果実飲料/30%果汁入り飲料
りんご/缶詰
りんご/ジャム
レモン/全果、生
レモン/果汁、生
えのきたけ/生
えのきたけ/ゆで
えのきたけ/味付け瓶詰
あらげきくらげ/乾
あらげきくらげ/ゆで
きくらげ/乾
きくらげ/ゆで
しろきくらげ/乾
しろきくらげ/ゆで
くろあわびたけ/生
生しいたけ/生
生しいたけ/ゆで
乾しいたけ/乾
乾しいたけ/ゆで
はたけしめじ/生
ぶなしめじ/生
ぶなしめじ/ゆで
ほんしめじ/生
たもぎたけ/生
なめこ/生
なめこ/ゆで
なめこ/水煮缶詰
ぬめりすぎたけ/生
うすひらたけ/生
エリンギ/生
ひらたけ/生
ひらたけ/ゆで
まいたけ/生
まいたけ/ゆで
まいたけ/乾
マッシュルーム/生
マッシュルーム/ゆで
マッシュルーム/水煮缶詰
まつたけ/生
まつたけ/水煮缶詰
やなぎまつたけ/生
あおさ/素干し
あおのり/素干し
あまのり/ほしのり
あまのり/焼きのり
あまのり/味付けのり
あらめ/蒸し干し
いわのり/素干し
えごのり/素干し
えごのり/おきうと
おごのり/塩蔵、塩抜き
かわのり/素干し
くびれづた/生
えながおにこんぶ/素干し
がごめこんぶ/素干し
ながこんぶ/素干し
ほそめこんぶ/素干し
まこんぶ/素干し
みついしこんぶ/素干し
りしりこんぶ/素干し
りしりこんぶ/刻み昆布
りしりこんぶ/削り昆布
りしりこんぶ/塩昆布
りしりこんぶ/つくだ煮
すいぜんじのり/素干し、水戻し
てんぐさ/素干し
てんぐさ/ところてん
てんぐさ/角寒天
てんぐさ/寒天
赤とさか/塩蔵、塩抜き
青とさか/塩蔵、塩抜き
ひじき/ほしひじき
ひとえぐさ/素干し
ひとえぐさ/つくだ煮
ふのり/素干し
まつも/素干し
むかでのり/塩蔵、塩抜き
おきなわもずく/塩蔵、塩抜き
もずく/塩蔵、塩抜き
わかめ/原藻、生
乾燥わかめ/素干し
乾燥わかめ/素干し、水戻し
乾燥わかめ/板わかめ
乾燥わかめ/灰干し、水戻し
乾燥わかめ/カットわかめ
湯通し塩蔵わかめ/塩抜き
くきわかめ/湯通し塩蔵、塩抜き
めかぶわかめ/生
あいなめ/生
あこうだい/生
まあじ/生
まあじ/水煮
まあじ/焼き
まあじ/開き干し、生
まあじ/開き干し、焼き
にしまあじ/生
にしまあじ/水煮
にしまあじ/焼き
むろあじ/生
むろあじ/焼き
むろあじ/開き干し
むろあじ/くさや
あなご/生
あなご/蒸し
あまご/養殖、生
あまだい/生
あまだい/水煮
あまだい/焼き
あゆ/天然、生
あゆ/天然、焼き
あゆ/天然、内臓、生
あゆ/天然、内臓、焼き
あゆ/養殖、生
あゆ/養殖、焼き
あゆ/養殖、内臓、生
あゆ/養殖、内臓、焼き
あゆ/うるか
アラスカめぬけ/生
あんこう/生
あんこう/きも、生
いかなご/生
いかなご/煮干し
いかなご/つくだ煮
いかなご/あめ煮
いさき/生
いしだい/生
いとよりだい/生
いとよりだい/すり身
いぼだい/生
うるめいわし/生
うるめいわし/丸干し
かたくちいわし/生
かたくちいわし/煮干し
かたくちいわし/田作り
まいわし/生
まいわし/水煮
まいわし/焼き
まいわし/塩いわし
まいわし/生干し
まいわし/丸干し
めざし/生
めざし/焼き
しらす干し/微乾燥品
しらす干し/半乾燥品
たたみいわし
みりん干し/かたくちいわし
みりん干し/まいわし
缶詰/水煮
缶詰/味付け
缶詰/トマト漬
缶詰/油漬
缶詰/かば焼
いわな/養殖、生
うぐい/生
うなぎ/養殖、生
うなぎ/きも、生
うなぎ/白焼き
うなぎ/かば焼
うまづらはぎ/生
うまづらはぎ/味付け開き干し
うまづらはぎ/生
えそ/生
おいかわ/生
おおさが/生
おこぜ/生
おひょう/生
かさご/生
かじか/生
かじか/水煮
かじか/つくだ煮
くろかじき/生
まかじき/生
めかじき/生
かつお/春獲り、生
かつお/秋獲り、生
そうだがつお/生
加工品/なまり
加工品/なまり節
加工品/かつお節
加工品/削り節
加工品/削り節つくだ煮
加工品/角煮
加工品/塩辛
缶詰/味付け、フレーク
缶詰/油漬、フレーク
かます/生
かます/焼き
まがれい/生
まがれい/水煮
まがれい/焼き
まこがれい/生
子持ちがれい/生
子持ちがれい/水煮
子持ちがれい/干しかれい
かわはぎ/生
かんぱち/生
きす/生
きちじ/生
きびなご/生
きびなご/調味干し
キャビア/塩蔵品
キングクリップ/生
ぎんだら/生
きんめだい/生
ぐち/生
ぐち/焼き
こい/養殖、生
こい/養殖、水煮
こい/養殖、内臓、生
こち/生
めごち/生
このしろ/生
このしろ/甘酢漬
からふとます/生
からふとます/焼き
からふとます/塩ます
からふとます/水煮缶詰
ぎんざけ/養殖、生
ぎんざけ/養殖、焼き
さくらます/生
さくらます/焼き
しろさけ/生
しろさけ/水煮
しろさけ/焼き
しろさけ/新巻き、生
しろさけ/新巻き、焼き
しろさけ/塩ざけ
しろさけ/イクラ
しろさけ/すじこ
しろさけ/めふん
しろさけ/水煮缶詰
たいせいようさけ/養殖、生
たいせいようさけ/養殖、焼き
にじます/海面養殖、生
にじます/海面養殖、焼き
にじます/淡水養殖、生
べにざけ/生
べにざけ/焼き
べにざけ/くん製
ますのすけ/生
ますのすけ/焼き
まさば/生
まさば/水煮
まさば/焼き
まさば/さば節
たいせいようさば/生
たいせいようさば/水煮
たいせいようさば/焼き
加工品/塩さば
切り身/開き干し
切り身/しめさば
缶詰/水煮
缶詰/みそ煮
缶詰/味付け
あぶらつのざめ/生
よしきりざめ/生
よしきりざめ/ふかひれ
さより/生
さわら/生
さわら/焼き
さんま/生
さんま/焼き
さんま/開き干し
さんま/みりん干し
さんま/缶詰/味付け
さんま/缶詰/かば焼
しいら/生
ししゃも/生干し、生
ししゃも/生干し、焼き
からふとししゃも/生干し、生
からふとししゃも/生干し、焼き
したびらめ/生
しまあじ/養殖、生
しらうお/生
シルバー/生
すずき/生
きだい/生
くろだい/生
ちだい/生
まだい/天然、生
まだい/養殖、生
まだい/養殖、水煮
まだい/養殖、焼き
たかさご/生
たかべ/生
たちうお/生
すけとうだら/生
すけとうだら/すり身
すけとうだら/すきみだら
すけとうだら/たらこ/生
すけとうだら/たらこ/焼き
すけとうだら/からしめんたいこ
まだら/生
まだら/焼き
まだら/しらこ
まだら/塩だら
まだら/干しだら
まだら/でんぶ
ちか/生
テラピア/生
どじょう/生
どじょう/水煮
とびうお/生
なまず/生
にぎす/生
にしん/生
にしん/身欠きにしん
にしん/開き干し
にしん/くん製
にしん/かずのこ/生
にしん/かずのこ/乾
にしん/かずのこ/塩蔵、水戻し
はぜ/生
はぜ/つくだ煮
はぜ/甘露煮
はたはた/生
はたはた/生干し
はまふえふき/生
はも/生
バラクータ/生
ひらまさ/生
ひらめ/天然、生
ひらめ/養殖、生
とらふぐ/養殖、生
まふぐ/生
ふな/生
ふな/水煮
ふな/甘露煮
ぶり/成魚/生
ぶり/成魚/焼き
ぶり/はまち/養殖、生
ほうぼう/生
ホキ/生
ほっけ/生
